order_month,region,orders,units,revenue_egp
2025-01,Greater Cairo,245,245,2147171.4
2025-01,Unknown,251,251,2160190.8
2025-02,Delta,237,1896,11594045.28
2025-02,Unknown,243,1944,11737452.92
2025-03,Coastal,245,735,5880045.75
2025-03,Unknown,251,753,5927365.65
2025-04,Greater Cairo,238,2380,14361375.6
2025-04,Unknown,242,2420,14515410.9
2025-05,Greater Cairo,246,1230,9721521.25
2025-05,Unknown,250,1250,10089496.5
2025-06,Delta,238,2856,17572989.06
2025-06,Unknown,242,2904,17759141.46
2025-07,Coastal,237,1659,13235485.2
2025-07,Unknown,243,1701,13758633.0
2025-08,Greater Cairo,245,490,3098546.32
2025-08,Unknown,251,502,3176538.22
2025-09,Greater Cairo,238,2142,17435266.2
2025-09,Unknown,242,2178,17963444.25
2025-10,Delta,246,984,5739126.06
2025-10,Unknown,250,1000,5860197.9
2025-11,Coastal,238,2618,21380469.0
2025-11,Unknown,242,2662,21472054.45
2025-12,Greater Cairo,238,1428,8787699.27
2025-12,Unknown,242,1452,8888309.46
2026-01,Greater Cairo,114,114,738955.5
2026-01,Unknown,115,115,773883.75
2026-02,Delta,122,976,5912423.6
2026-02,Unknown,123,984,6016686.8
2026-03,Coastal,114,342,2962168.35
2026-03,Unknown,115,345,3062210.25
2026-04,Greater Cairo,121,1210,7290193.95
2026-04,Unknown,124,1240,7420088.7
2026-05,Greater Cairo,113,565,4869366.75
2026-05,Unknown,116,580,4710403.75
2026-06,Delta,120,1440,8604349.98
2026-06,Unknown,125,1500,9486735.24
2026-07,Coastal,122,854,6960157.05
2026-07,Unknown,123,861,6820237.2
2026-08,Greater Cairo,114,228,1250268.82
2026-08,Unknown,115,230,1279581.02
2026-09,Greater Cairo,121,1089,9099724.05
2026-09,Unknown,124,1116,8959090.95
2026-10,Delta,113,452,2941490.7
2026-10,Unknown,116,464,2910016.68
2026-11,Coastal,121,1331,10729552.35
2026-11,Unknown,124,1364,11141078.3
2026-12,Greater Cairo,121,726,4491747.75
2026-12,Unknown,124,744,4515311.67
