order_id,order_date,customer_id,city,region,product,category,quantity,unit_price,discount_pct,gross_amount,net_amount,order_month,order_size
101001,2026-05-09,CUST01001,Cairo,Greater Cairo,Laptop,Electronics,5,29355.0,0,146775.0,146775.0,2026-05,Large
101002,2026-12-22,CUST01002,Giza,Greater Cairo,Smartphone,Electronics,6,15080.0,5,90480.0,85956.0,2026-12,Large
101003,2026-07-07,CUST01003,Alexandria,Coastal,Wireless Mouse,Accessories,7,472.5,10,3307.5,2976.75,2026-07,Medium
101004,2026-02-20,CUST01004,Mansoura,Delta,Keyboard,Accessories,8,901.0,15,7208.0,6126.8,2026-02,Medium
101005,2026-09-05,CUST01005,Tanta,Unknown,Office Chair,Furniture,9,5564.0,20,50076.0,40060.8,2026-09,Large
101006,2026-04-18,CUST01006,Aswan,Unknown,Desk,Furniture,10,7992.0,0,79920.0,79920.0,2026-04,Large
101007,2026-11-03,CUST01007,Luxor,Unknown,Headphones,Electronics,11,1962.0,5,21582.0,20502.9,2026-11,Large
101008,2026-06-16,CUST01008,Port Said,Unknown,Monitor,Electronics,12,10120.0,10,121440.0,109296.0,2026-06,Large
101009,2026-01-01,CUST01009,Cairo,Greater Cairo,Printer,Office Equipment,1,6120.0,15,6120.0,5202.0,2026-01,Medium
101010,2026-08-14,CUST01010,Giza,Greater Cairo,Notebook Pack,Stationery,2,218.4,20,436.8,349.44,2026-08,Small
101011,2026-03-27,CUST01011,Alexandria,Coastal,Laptop,Electronics,3,26220.0,0,78660.0,78660.0,2026-03,Large
101012,2026-10-12,CUST01012,Mansoura,Delta,Smartphone,Electronics,4,13485.0,5,53940.0,51243.0,2026-10,Large
101013,2026-05-25,CUST01013,Tanta,Unknown,Wireless Mouse,Accessories,5,423.0,10,2115.0,1903.5,2026-05,Medium
101014,2026-12-10,CUST01014,Aswan,Unknown,Keyboard,Accessories,6,807.5,15,4845.0,4118.25,2026-12,Medium
101015,2026-07-23,CUST01015,Luxor,Unknown,Office Chair,Furniture,7,4992.0,20,34944.0,27955.2,2026-07,Large
101016,2026-02-08,CUST01016,Port Said,Unknown,Desk,Furniture,8,7178.0,0,57424.0,57424.0,2026-02,Large
101017,2026-09-21,CUST01017,Cairo,Greater Cairo,Headphones,Electronics,9,1764.0,5,15876.0,15082.2,2026-09,Large
101018,2026-04-06,CUST01018,Giza,Greater Cairo,Monitor,Electronics,10,9108.0,10,91080.0,81972.0,2026-04,Large
101019,2026-11-19,CUST01019,Alexandria,Coastal,Printer,Office Equipment,11,6800.0,15,74800.0,63580.0,2026-11,Large
101020,2026-06-04,CUST01020,Mansoura,Delta,Notebook Pack,Stationery,12,242.4,20,2908.8,2327.04,2026-06,Medium
101021,2026-01-17,CUST01021,Tanta,Unknown,Laptop,Electronics,1,29070.0,0,29070.0,29070.0,2026-01,Large
101022,2026-08-02,CUST01022,Aswan,Unknown,Smartphone,Electronics,2,14935.0,5,29870.0,28376.5,2026-08,Large
101023,2026-03-15,CUST01023,Luxor,Unknown,Wireless Mouse,Accessories,3,468.0,10,1404.0,1263.6,2026-03,Medium
101024,2026-10-28,CUST01024,Port Said,Unknown,Keyboard,Accessories,4,892.5,15,3570.0,3034.5,2026-10,Medium
101025,2026-05-13,CUST01025,Cairo,Greater Cairo,Office Chair,Furniture,5,5512.0,20,27560.0,22048.0,2026-05,Large
101026,2026-12-26,CUST01026,Giza,Greater Cairo,Desk,Furniture,6,7918.0,0,47508.0,47508.0,2026-12,Large
101027,2026-07-11,CUST01027,Alexandria,Coastal,Headphones,Electronics,7,1944.0,5,13608.0,12927.6,2026-07,Large
101028,2026-02-24,CUST01028,Mansoura,Delta,Monitor,Electronics,8,10028.0,10,80224.0,72201.6,2026-02,Large
101029,2026-09-09,CUST01029,Tanta,Unknown,Printer,Office Equipment,9,7480.0,15,67320.0,57222.0,2026-09,Large
101030,2026-04-22,CUST01030,Aswan,Unknown,Notebook Pack,Stationery,10,216.0,20,2160.0,1728.0,2026-04,Medium
101031,2026-11-07,CUST01031,Luxor,Unknown,Laptop,Electronics,11,25935.0,0,285285.0,285285.0,2026-11,Large
101032,2026-06-20,CUST01032,Port Said,Unknown,Smartphone,Electronics,12,13340.0,5,160080.0,152076.0,2026-06,Large
101033,2026-01-05,CUST01033,Cairo,Greater Cairo,Wireless Mouse,Accessories,1,418.5,10,418.5,376.65,2026-01,Small
101034,2026-08-18,CUST01034,Giza,Greater Cairo,Keyboard,Accessories,2,799.0,15,1598.0,1358.3,2026-08,Medium
101035,2026-03-03,CUST01035,Alexandria,Coastal,Office Chair,Furniture,3,4940.0,20,14820.0,11856.0,2026-03,Large
101036,2026-10-16,CUST01036,Mansoura,Delta,Desk,Furniture,4,7104.0,0,28416.0,28416.0,2026-10,Large
101037,2026-05-01,CUST01037,Tanta,Unknown,Headphones,Electronics,5,1746.0,5,8730.0,8293.5,2026-05,Medium
101038,2026-12-14,CUST01038,Aswan,Unknown,Monitor,Electronics,6,9016.0,10,54096.0,48686.4,2026-12,Large
101039,2026-07-27,CUST01039,Luxor,Unknown,Printer,Office Equipment,7,6732.0,15,47124.0,40055.4,2026-07,Large
