order_id,order_date,customer_id,city,product,category,status,quantity,unit_price,discount_pct
100001,31/02/2026,CUST00001,  , laptop ,electronics, completed ,1,25650,0
100002,14/08/2025,,Giza,Smartphone,Electronics,Completed,2,13195,5
100003,27/03/2025,CUST00003,Alexandria,Wireless Mouse,Accessories,Completed,0,414,10
100004,12/10/2025,CUST00004,Mansoura,Keyboard,Accessories,Completed,4,-25,15
100005,25/05/2025,CUST00005,Tanta,Office Chair,Furniture,Completed,5,4888,150
100006,31/02/2026,CUST00006,Aswan,Desk,Furniture,Completed,6,7030,0
100007,23/07/2025,,Luxor,Headphones,Electronics,Completed,7,1728,5
100008,08/02/2025,CUST00008,Port Said,Monitor,Electronics,Completed,0,8924,10
100009,21/09/2025,CUST00009,Cairo,Printer,Office Equipment,Completed,9,-25,15
100010,06/04/2025,CUST00010,Giza,Notebook Pack,Stationery,Completed,10,237.6,150
100011,31/02/2026,CUST00011,Alexandria,Laptop,Electronics,Completed,11,28500,0
100012,04/06/2025,,Mansoura,Smartphone,Electronics,Completed,12,14645,5
100013,17/01/2025,CUST00013,Tanta,Wireless Mouse,Accessories,Completed,0,459,10
100014,02/08/2025,CUST00014,Aswan,Keyboard,Accessories,Completed,2,-25,15
100015,15/03/2025,CUST00015,Luxor,Office Chair,Furniture,Completed,3,5408,150
100016,31/02/2026,CUST00016,Port Said,Desk,Furniture,Completed,4,7770,0
100017,13/05/2025,,Cairo,Headphones,Electronics,Completed,5,1908,5
100018,26/12/2025,CUST00018,Giza,Monitor,Electronics,Completed,0,9844,10
100019,11/07/2025,CUST00019,Alexandria,Printer,Office Equipment,Completed,7,-25,15
100020,24/02/2025,CUST00020,Mansoura,Notebook Pack,Stationery,Completed,8,261.6,150
100021,31/02/2026,CUST00021,Tanta,Laptop,Electronics,Completed,9,31350,0
100022,22/04/2025,,Aswan,Smartphone,Electronics,Completed,10,13050,5
100023,07/11/2025,CUST00023,Luxor,Wireless Mouse,Accessories,Completed,0,409.5,10
100024,20/06/2025,CUST00024,Port Said,Keyboard,Accessories,Completed,12,-25,15
100025,05/01/2025,CUST00025,Cairo,Office Chair,Furniture,Completed,1,4836,150
100026,31/02/2026,CUST00026,Giza,Desk,Furniture,Completed,2,6956,0
100027,03/03/2025,,Alexandria,Headphones,Electronics,Completed,3,1710,5
100028,16/10/2025,CUST00028,Mansoura,Monitor,Electronics,Completed,0,8832,10
100029,01/05/2025,CUST00029,Tanta,Printer,Office Equipment,Completed,5,-25,15
100030,14/12/2025,CUST00030,Aswan,Notebook Pack,Stationery,Completed,6,235.2,150
100031,31/02/2026,CUST00031,Luxor,Laptop,Electronics,Completed,7,28215,0
100032,12/02/2025,,Port Said,Smartphone,Electronics,Completed,8,14500,5
100033,25/09/2025,CUST00033,Cairo,Wireless Mouse,Accessories,Completed,0,454.5,10
100034,10/04/2025,CUST00034,Giza,Keyboard,Accessories,Completed,10,-25,15
100035,23/11/2025,CUST00035,Alexandria,Office Chair,Furniture,Completed,11,5356,150
100036,31/02/2026,CUST00036,Mansoura,Desk,Furniture,Completed,12,7696,0
100037,21/01/2025,,Tanta,Headphones,Electronics,Completed,1,1890,5
100038,06/08/2025,CUST00038,Aswan,Monitor,Electronics,Completed,0,9752,10
100039,19/03/2025,CUST00039,Luxor,Printer,Office Equipment,Completed,3,-25,15
100040,04/10/2025,CUST00040,Port Said,Notebook Pack,Stationery,Completed,4,259.2,150
100041,31/02/2026,CUST00041,Cairo,Laptop,Electronics,Completed,5,31065,0
100042,02/12/2025,,Giza,Smartphone,Electronics,Completed,6,15950,5
100043,15/07/2025,CUST00043,Alexandria,Wireless Mouse,Accessories,Completed,0,405,10
100044,28/02/2025,CUST00044,Mansoura,Keyboard,Accessories,Completed,8,-25,15
100045,13/09/2025,CUST00045,Tanta,Office Chair,Furniture,Completed,9,4784,150
100046,31/02/2026,CUST00046,Aswan,Desk,Furniture,Completed,10,6882,0
100047,11/11/2025,,Luxor,Headphones,Electronics,Completed,11,1692,5
100048,24/06/2025,CUST00048,Port Said,Monitor,Electronics,Completed,0,8740,10
100049,09/01/2025,CUST00049,Cairo,Printer,Office Equipment,Completed,1,-25,15
100050,22/08/2025,CUST00050,Giza,Notebook Pack,Stationery,Completed,2,232.8,150
100051,31/02/2026,CUST00051,Alexandria,Laptop,Electronics,Completed,3,27930,0
100052,20/10/2025,,Mansoura,Smartphone,Electronics,Completed,4,14355,5
100053,05/05/2025,CUST00053,Tanta,Wireless Mouse,Accessories,Completed,0,450,10
100054,18/12/2025,CUST00054,Aswan,Keyboard,Accessories,Completed,6,-25,15
100055,03/07/2025,CUST00055,Luxor,Office Chair,Furniture,Completed,7,5304,150
100056,31/02/2026,CUST00056,Port Said,Desk,Furniture,Completed,8,7622,0
100057,01/09/2025,,Cairo,Headphones,Electronics,Completed,9,1872,5
100058,14/04/2025,CUST00058,Giza,Monitor,Electronics,Completed,0,9660,10
100059,27/11/2025,CUST00059,Alexandria,Printer,Office Equipment,Completed,11,-25,15
100060,12/06/2025,CUST00060,Mansoura,Notebook Pack,Stationery,Completed,12,256.8,150
100061,31/02/2026,CUST00061,Tanta,Laptop,Electronics,Completed,1,30780,0
100062,10/08/2025,,Aswan,Smartphone,Electronics,Completed,2,15805,5
100063,23/03/2025,CUST00063,Luxor,Wireless Mouse,Accessories,Completed,0,495,10
100064,08/10/2025,CUST00064,Port Said,Keyboard,Accessories,Completed,4,-25,15
100065,21/05/2025,CUST00065,Cairo,Office Chair,Furniture,Completed,5,4732,150
100066,31/02/2026,CUST00066,Giza,Desk,Furniture,Completed,6,6808,0
100067,19/07/2025,,Alexandria,Headphones,Electronics,Completed,7,1674,5
100068,04/02/2025,CUST00068,Mansoura,Monitor,Electronics,Completed,0,8648,10
100069,17/09/2025,CUST00069,Tanta,Printer,Office Equipment,Completed,9,-25,15
100070,02/04/2025,CUST00070,Aswan,Notebook Pack,Stationery,Completed,10,230.4,150
100071,31/02/2026,CUST00071,Luxor,Laptop,Electronics,Completed,11,27645,0
100072,28/06/2025,,Port Said,Smartphone,Electronics,Completed,12,14210,5
100073,13/01/2025,CUST00073,Cairo,Wireless Mouse,Accessories,Completed,0,445.5,10
100074,26/08/2025,CUST00074,Giza,Keyboard,Accessories,Completed,2,-25,15
100075,11/03/2025,CUST00075,Alexandria,Office Chair,Furniture,Completed,3,5252,150
100076,31/02/2026,CUST00076,Mansoura,Desk,Furniture,Completed,4,7548,0
100077,09/05/2025,,Tanta,Headphones,Electronics,Completed,5,1854,5
100078,22/12/2025,CUST00078,Aswan,Monitor,Electronics,Completed,0,9568,10
100079,07/07/2025,CUST00079,Luxor,Printer,Office Equipment,Completed,7,-25,15
100080,20/02/2025,CUST00080,Port Said,Notebook Pack,Stationery,Completed,8,254.4,150
100081,31/02/2026,CUST00081,Cairo,Laptop,Electronics,Completed,9,30495,0
100082,18/04/2025,,Giza,Smartphone,Electronics,Completed,10,15660,5
100083,03/11/2025,CUST00083,Alexandria,Wireless Mouse,Accessories,Completed,0,490.5,10
100084,16/06/2025,CUST00084,Mansoura,Keyboard,Accessories,Completed,12,-25,15
100085,01/01/2025,CUST00085,Tanta,Office Chair,Furniture,Completed,1,4680,150
100086,31/02/2026,CUST00086,Aswan,Desk,Furniture,Completed,2,6734,0
100087,27/03/2025,,Luxor,Headphones,Electronics,Completed,3,1656,5
100088,12/10/2025,CUST00088,Port Said,Monitor,Electronics,Completed,0,8556,10
100089,25/05/2025,CUST00089,Cairo,Printer,Office Equipment,Completed,5,-25,15
100090,10/12/2025,CUST00090,Giza,Notebook Pack,Stationery,Completed,6,228,150
100091,31/02/2026,CUST00091,Alexandria,Laptop,Electronics,Completed,7,27360,0
100092,08/02/2025,,Mansoura,Smartphone,Electronics,Completed,8,14065,5
100093,21/09/2025,CUST00093,Tanta,Wireless Mouse,Accessories,Completed,0,441,10
100094,06/04/2025,CUST00094,Aswan,Keyboard,Accessories,Completed,10,-25,15
100095,19/11/2025,CUST00095,Luxor,Office Chair,Furniture,Completed,11,5200,150
100096,31/02/2026,CUST00096,Port Said,Desk,Furniture,Completed,12,7474,0
100097,17/01/2025,,Cairo,Headphones,Electronics,Completed,1,1836,5
100098,02/08/2025,CUST00098,,Monitor,Electronics,Completed,0,9476,10
100099,15/03/2025,CUST00099,Alexandria,Printer,Office Equipment,Completed,3,-25,15
100100,28/10/2025,CUST00100,Mansoura,Notebook Pack,Stationery,Completed,4,252,150
100101,31/02/2026,CUST00101,Tanta,Laptop,Electronics,Completed,5,30210,0
100102,26/12/2025,,Aswan,Smartphone,Electronics,Completed,6,15515,5
100103,11/07/2025,CUST00103,Luxor,Wireless Mouse,Accessories,Completed,0,486,10
100104,24/02/2025,CUST00104,Port Said,Keyboard,Accessories,Completed,8,-25,15
100105,09/09/2025,CUST00105,Cairo,Office Chair,Furniture,Completed,9,5720,150
100106,31/02/2026,CUST00106,Giza,Desk,Furniture,Completed,10,6660,0
100107,07/11/2025,,Alexandria,Headphones,Electronics,Completed,11,1638,5
100108,20/06/2025,CUST00108,Mansoura,Monitor,Electronics,Completed,0,8464,10
100109,05/01/2025,CUST00109,Tanta,Printer,Office Equipment,Completed,1,-25,15
100110,18/08/2025,CUST00110,Aswan,Notebook Pack,Stationery,Completed,2,225.6,150
100111,31/02/2026,CUST00111,Luxor,Laptop,Electronics,Completed,3,27075,0
100112,16/10/2025,,Port Said,Smartphone,Electronics,Completed,4,13920,5
100113,01/05/2025,CUST00113,Cairo,Wireless Mouse,Accessories,Completed,0,436.5,10
100114,14/12/2025,CUST00114, Giza ,Keyboard,Accessories,Completed,6,-25,15
100115,27/07/2025,CUST00115,Alexandria,Office Chair,Furniture,Completed,7,5148,150
100116,31/02/2026,CUST00116,Mansoura,Desk,Furniture,Completed,8,7400,0
100117,25/09/2025,,Tanta,Headphones,Electronics,Completed,9,1818,5
100118,10/04/2025,CUST00118,Aswan,Monitor,Electronics,Completed,0,9384,10
100119,23/11/2025,CUST00119,Luxor,Printer,Office Equipment,Completed,11,-25,15
100120,08/06/2025,CUST00120,Port Said,Notebook Pack,Stationery,Completed,12,249.6,150
100121,31/02/2026,CUST00121,Cairo,Laptop,Electronics,Completed,1,29925,0
100122,06/08/2025,,Giza,Smartphone,Electronics,Completed,2,15370,5
100123,19/03/2025,CUST00123,Alexandria,Wireless Mouse,Accessories,Completed,0,481.5,10
100124,04/10/2025,CUST00124,Mansoura,Keyboard,Accessories,Completed,4,-25,15
100125,17/05/2025,CUST00125,Tanta,Office Chair,Furniture,Completed,5,5668,150
100126,31/02/2026,CUST00126,Aswan,Desk,Furniture,Completed,6,8140,0
100127,15/07/2025,,Luxor,Headphones,Electronics,Completed,7,1620,5
100128,28/02/2025,CUST00128,Port Said, monitor ,Electronics,Completed,0,8372,10
100129,13/09/2025,CUST00129,Cairo,Printer,Office Equipment,Completed,9,-25,15
100130,26/04/2025,CUST00130,Giza,Notebook Pack,Stationery,Completed,10,223.2,150
100131,31/02/2026,CUST00131,Alexandria,Laptop,Electronics,Completed,11,26790,0
100132,24/06/2025,,Mansoura,Smartphone,Electronics,Completed,12,13775,5
100133,09/01/2025,CUST00133,Tanta,Wireless Mouse,Accessories,Completed,0,432,10
100134,22/08/2025,CUST00134,Aswan,Keyboard,Accessories,Completed,2,-25,15
100135,07/03/2025,CUST00135,Luxor,Office Chair,Furniture,Completed,3,5096,150
100136,31/02/2026,CUST00136,Port Said,Desk,Furniture,Completed,4,7326,0
100137,05/05/2025,,Cairo,Headphones,Electronics,Completed,5,1800,5
100138,18/12/2025,CUST00138,Giza,Monitor,Electronics,Completed,0,9292,10
100139,03/07/2025,CUST00139,Alexandria,Printer,Office Equipment,Completed,7,-25,15
100140,16/02/2025,CUST00140,Mansoura,Notebook Pack,Stationery,Completed,8,247.2,150
100141,31/02/2026,CUST00141,Tanta,Laptop,Electronics,Completed,9,29640,0
100142,14/04/2025,,Aswan,Smartphone,Electronics,Completed,10,15225,5
100143,27/11/2025,CUST00143,Luxor,Wireless Mouse,Accessories,Completed,0,477,10
100144,12/06/2025,CUST00144,Port Said,Keyboard,Accessories,Completed,12,-25,15
100145,25/01/2025,CUST00145,Cairo,Office Chair,Furniture,Completed,1,5616,150
100146,31/02/2026,CUST00146,Giza,Desk,Furniture,Completed,2,8066,0
100147,23/03/2025,,Alexandria,Headphones,Electronics,Completed,3,1980,5
100148,08/10/2025,CUST00148,Mansoura,Monitor,Electronics,Completed,0,8280,10
100149,21/05/2025,CUST00149,Tanta,Printer,Office Equipment,Completed,5,-25,15
100150,06/12/2025,CUST00150,Aswan,Notebook Pack,stationery,Completed,6,220.8,150
100151,31/02/2026,CUST00151,Luxor,Laptop,Electronics,Completed,7,26505,0
100152,04/02/2025,,Port Said,Smartphone,Electronics,Completed,8,13630,5
100153,17/09/2025,CUST00153,Cairo,Wireless Mouse,Accessories,Completed,0,427.5,10
100154,02/04/2025,CUST00154,Giza,Keyboard,Accessories,Completed,10,-25,15
100155,15/11/2025,CUST00155,Alexandria,Office Chair,Furniture,Completed,11,5044,150
100156,31/02/2026,CUST00156,Mansoura,Desk,Furniture,Completed,12,7252,0
100157,13/01/2025,,Tanta,Headphones,Electronics,Completed,1,1782,5
100158,26/08/2025,CUST00158,Aswan,Monitor,Electronics,Completed,0,9200,10
100159,11/03/2025,CUST00159,Luxor,Printer,Office Equipment,Completed,3,-25,15
100160,24/10/2025,CUST00160,Port Said,Notebook Pack,Stationery,Completed,4,244.8,150
100161,31/02/2026,CUST00161,Cairo,Laptop,Electronics,Completed,5,29355,0
100162,22/12/2025,,Giza,Smartphone,Electronics,Completed,6,15080,5
100163,07/07/2025,CUST00163,Alexandria,Wireless Mouse,Accessories,Completed,0,472.5,10
100164,20/02/2025,CUST00164,Mansoura,Keyboard,Accessories,Completed,8,-25,15
100165,05/09/2025,CUST00165,Tanta,Office Chair,Furniture,Completed,9,5564,150
100166,31/02/2026,CUST00166,Aswan,Desk,Furniture,Completed,10,7992,0
100167,03/11/2025,,Luxor,Headphones,Electronics,Completed,11,1962,5
100168,16/06/2025,CUST00168,Port Said,Monitor,Electronics,Completed,0,10120,10
100169,01/01/2025,CUST00169,Cairo,Printer,Office Equipment,Completed,1,-25,15
100170,14/08/2025,CUST00170,Giza,Notebook Pack,Stationery,Completed,2,218.4,150
100171,31/02/2026,CUST00171,Alexandria,Laptop,Electronics,Completed,3,26220,0
100172,12/10/2025,,Mansoura,Smartphone,Electronics,Completed,4,13485,5
100173,25/05/2025,CUST00173,Tanta,Wireless Mouse,Accessories,Completed,0,423,10
100174,10/12/2025,CUST00174,Aswan,Keyboard,Accessories, completed ,6,-25,15
100175,23/07/2025,CUST00175,Luxor,Office Chair,Furniture,Completed,7,4992,150
100176,31/02/2026,CUST00176,Port Said,Desk,Furniture,Completed,8,7178,0
100177,21/09/2025,,Cairo,Headphones,Electronics,Completed,9,1764,5
100178,06/04/2025,CUST00178,Giza,Monitor,Electronics,Completed,0,9108,10
100179,19/11/2025,CUST00179,Alexandria,Printer,Office Equipment,Completed,11,-25,15
100180,04/06/2025,CUST00180,Mansoura,Notebook Pack,Stationery,Completed,12,242.4,150
100181,31/02/2026,CUST00181,Tanta,Laptop,Electronics,Completed,1,29070,0
100182,02/08/2025,,Aswan,Smartphone,Electronics,Completed,2,14935,5
100183,15/03/2025,CUST00183,Luxor,Wireless Mouse,Accessories,Completed,0,468,10
100184,28/10/2025,CUST00184,Port Said,Keyboard,Accessories,Completed,4,-25,15
100185,13/05/2025,CUST00185,Cairo,Office Chair,Furniture,Completed,5,5512,150
100186,31/02/2026,CUST00186,Giza,Desk,Furniture,Completed,6,7918,0
100187,11/07/2025,,Alexandria,Headphones,Electronics,Completed,7,1944,5
100188,24/02/2025,CUST00188,Mansoura,Monitor,Electronics,Completed,0,10028,10
