order_id,order_date,customer_id,city,product,category,status,quantity,unit_price,discount_pct
100001,,CUST00001,,Laptop,Electronics,Completed,1,25650.0,0
100002,2025-08-14,,Giza,Smartphone,Electronics,Completed,2,13195.0,5
100003,2025-03-27,CUST00003,Alexandria,Wireless Mouse,Accessories,Completed,0,414.0,10
100004,2025-10-12,CUST00004,Mansoura,Keyboard,Accessories,Completed,4,-25.0,15
100005,2025-05-25,CUST00005,Tanta,Office Chair,Furniture,Completed,5,4888.0,150
100006,,CUST00006,Aswan,Desk,Furniture,Completed,6,7030.0,0
100007,2025-07-23,,Luxor,Headphones,Electronics,Completed,7,1728.0,5
100008,2025-02-08,CUST00008,Port Said,Monitor,Electronics,Completed,0,8924.0,10
100009,2025-09-21,CUST00009,Cairo,Printer,Office Equipment,Completed,9,-25.0,15
100010,2025-04-06,CUST00010,Giza,Notebook Pack,Stationery,Completed,10,237.6,150
100011,,CUST00011,Alexandria,Laptop,Electronics,Completed,11,28500.0,0
100012,2025-06-04,,Mansoura,Smartphone,Electronics,Completed,12,14645.0,5
100013,2025-01-17,CUST00013,Tanta,Wireless Mouse,Accessories,Completed,0,459.0,10
100014,2025-08-02,CUST00014,Aswan,Keyboard,Accessories,Completed,2,-25.0,15
100015,2025-03-15,CUST00015,Luxor,Office Chair,Furniture,Completed,3,5408.0,150
100016,,CUST00016,Port Said,Desk,Furniture,Completed,4,7770.0,0
100017,2025-05-13,,Cairo,Headphones,Electronics,Completed,5,1908.0,5
100018,2025-12-26,CUST00018,Giza,Monitor,Electronics,Completed,0,9844.0,10
100019,2025-07-11,CUST00019,Alexandria,Printer,Office Equipment,Completed,7,-25.0,15
100020,2025-02-24,CUST00020,Mansoura,Notebook Pack,Stationery,Completed,8,261.6,150
100021,,CUST00021,Tanta,Laptop,Electronics,Completed,9,31350.0,0
100022,2025-04-22,,Aswan,Smartphone,Electronics,Completed,10,13050.0,5
100023,2025-11-07,CUST00023,Luxor,Wireless Mouse,Accessories,Completed,0,409.5,10
100024,2025-06-20,CUST00024,Port Said,Keyboard,Accessories,Completed,12,-25.0,15
100025,2025-01-05,CUST00025,Cairo,Office Chair,Furniture,Completed,1,4836.0,150
100026,,CUST00026,Giza,Desk,Furniture,Completed,2,6956.0,0
100027,2025-03-03,,Alexandria,Headphones,Electronics,Completed,3,1710.0,5
100028,2025-10-16,CUST00028,Mansoura,Monitor,Electronics,Completed,0,8832.0,10
100029,2025-05-01,CUST00029,Tanta,Printer,Office Equipment,Completed,5,-25.0,15
100030,2025-12-14,CUST00030,Aswan,Notebook Pack,Stationery,Completed,6,235.2,150
100031,,CUST00031,Luxor,Laptop,Electronics,Completed,7,28215.0,0
100032,2025-02-12,,Port Said,Smartphone,Electronics,Completed,8,14500.0,5
100033,2025-09-25,CUST00033,Cairo,Wireless Mouse,Accessories,Completed,0,454.5,10
100034,2025-04-10,CUST00034,Giza,Keyboard,Accessories,Completed,10,-25.0,15
100035,2025-11-23,CUST00035,Alexandria,Office Chair,Furniture,Completed,11,5356.0,150
100036,,CUST00036,Mansoura,Desk,Furniture,Completed,12,7696.0,0
100037,2025-01-21,,Tanta,Headphones,Electronics,Completed,1,1890.0,5
100038,2025-08-06,CUST00038,Aswan,Monitor,Electronics,Completed,0,9752.0,10
100039,2025-03-19,CUST00039,Luxor,Printer,Office Equipment,Completed,3,-25.0,15
100040,2025-10-04,CUST00040,Port Said,Notebook Pack,Stationery,Completed,4,259.2,150
100041,,CUST00041,Cairo,Laptop,Electronics,Completed,5,31065.0,0
100042,2025-12-02,,Giza,Smartphone,Electronics,Completed,6,15950.0,5
100043,2025-07-15,CUST00043,Alexandria,Wireless Mouse,Accessories,Completed,0,405.0,10
100044,2025-02-28,CUST00044,Mansoura,Keyboard,Accessories,Completed,8,-25.0,15
100045,2025-09-13,CUST00045,Tanta,Office Chair,Furniture,Completed,9,4784.0,150
100046,,CUST00046,Aswan,Desk,Furniture,Completed,10,6882.0,0
100047,2025-11-11,,Luxor,Headphones,Electronics,Completed,11,1692.0,5
100048,2025-06-24,CUST00048,Port Said,Monitor,Electronics,Completed,0,8740.0,10
100049,2025-01-09,CUST00049,Cairo,Printer,Office Equipment,Completed,1,-25.0,15
100050,2025-08-22,CUST00050,Giza,Notebook Pack,Stationery,Completed,2,232.8,150
100051,,CUST00051,Alexandria,Laptop,Electronics,Completed,3,27930.0,0
100052,2025-10-20,,Mansoura,Smartphone,Electronics,Completed,4,14355.0,5
100053,2025-05-05,CUST00053,Tanta,Wireless Mouse,Accessories,Completed,0,450.0,10
100054,2025-12-18,CUST00054,Aswan,Keyboard,Accessories,Completed,6,-25.0,15
100055,2025-07-03,CUST00055,Luxor,Office Chair,Furniture,Completed,7,5304.0,150
100056,,CUST00056,Port Said,Desk,Furniture,Completed,8,7622.0,0
100057,2025-09-01,,Cairo,Headphones,Electronics,Completed,9,1872.0,5
100058,2025-04-14,CUST00058,Giza,Monitor,Electronics,Completed,0,9660.0,10
100059,2025-11-27,CUST00059,Alexandria,Printer,Office Equipment,Completed,11,-25.0,15
100060,2025-06-12,CUST00060,Mansoura,Notebook Pack,Stationery,Completed,12,256.8,150
100061,,CUST00061,Tanta,Laptop,Electronics,Completed,1,30780.0,0
