,neighbourhood_group,neighbourhood
0,Bronx,Allerton
1,Bronx,Baychester
2,Bronx,Belmont
3,Bronx,Bronxdale
4,Bronx,Castle Hill
5,Bronx,City Island
6,Bronx,Claremont Village
7,Bronx,Clason Point
8,Bronx,Concourse
9,Bronx,Concourse Village
10,Bronx,Co-op City
11,Bronx,Country Club
12,Bronx,Eastchester
13,Bronx,East Morrisania
14,Bronx,Edenwald
15,Bronx,Fieldston
16,Bronx,Fordham
17,Bronx,Highbridge
18,Bronx,Hunts Point
19,Bronx,Kingsbridge
20,Bronx,Longwood
21,Bronx,Melrose
22,Bronx,Morrisania
23,Bronx,Morris Heights
24,Bronx,Morris Park
25,Bronx,Mott Haven
26,Bronx,Mount Eden
27,Bronx,Mount Hope
28,Bronx,North Riverdale
29,Bronx,Norwood
30,Bronx,Olinville
31,Bronx,Parkchester
32,Bronx,Pelham Bay
33,Bronx,Pelham Gardens
34,Bronx,Port Morris
35,Bronx,Riverdale
36,Bronx,Schuylerville
37,Bronx,Soundview
38,Bronx,Spuyten Duyvil
39,Bronx,Throgs Neck
40,Bronx,Tremont
41,Bronx,Unionport
42,Bronx,University Heights
43,Bronx,Van Nest
44,Bronx,Wakefield
45,Bronx,Westchester Square
46,Bronx,West Farms
47,Bronx,Williamsbridge
48,Bronx,Woodlawn
49,Brooklyn,Bath Beach
50,Brooklyn,Bay Ridge
51,Brooklyn,Bedford-Stuyvesant
52,Brooklyn,Bensonhurst
53,Brooklyn,Bergen Beach
54,Brooklyn,Boerum Hill
55,Brooklyn,Borough Park
56,Brooklyn,Brighton Beach
57,Brooklyn,Brooklyn Heights
58,Brooklyn,Brownsville
59,Brooklyn,Bushwick
60,Brooklyn,Canarsie
61,Brooklyn,Carroll Gardens
62,Brooklyn,Clinton Hill
63,Brooklyn,Cobble Hill
64,Brooklyn,Columbia St
65,Brooklyn,Coney Island
66,Brooklyn,Crown Heights
67,Brooklyn,Cypress Hills
68,Brooklyn,Downtown Brooklyn
69,Brooklyn,DUMBO
70,Brooklyn,Dyker Heights
71,Brooklyn,East Flatbush
72,Brooklyn,East New York
73,Brooklyn,Flatbush
74,Brooklyn,Flatlands
75,Brooklyn,Fort Greene
76,Brooklyn,Fort Hamilton
77,Brooklyn,Gerritsen Beach
78,Brooklyn,Gowanus
79,Brooklyn,Gravesend
80,Brooklyn,Greenpoint
81,Brooklyn,Kensington
82,Brooklyn,Manhattan Beach
83,Brooklyn,Midwood
84,Brooklyn,Mill Basin
85,Brooklyn,Navy Yard
86,Brooklyn,Park Slope
87,Brooklyn,Prospect Heights
88,Brooklyn,Prospect-Lefferts Gardens
89,Brooklyn,Red Hook
90,Brooklyn,Sea Gate
91,Brooklyn,Sheepshead Bay
92,Brooklyn,South Slope
93,Brooklyn,Sunset Park
94,Brooklyn,Vinegar Hill
95,Brooklyn,Williamsburg
96,Brooklyn,Windsor Terrace
97,Manhattan,Battery Park City
98,Manhattan,Chelsea
99,Manhattan,Chinatown
100,Manhattan,Civic Center
101,Manhattan,East Harlem
102,Manhattan,East Village
103,Manhattan,Financial District
104,Manhattan,Flatiron District
105,Manhattan,Gramercy
106,Manhattan,Greenwich Village
107,Manhattan,Harlem
108,Manhattan,Hell's Kitchen
109,Manhattan,Inwood
110,Manhattan,Kips Bay
111,Manhattan,Little Italy
112,Manhattan,Lower East Side
113,Manhattan,Marble Hill
114,Manhattan,Midtown
115,Manhattan,Morningside Heights
116,Manhattan,Murray Hill
117,Manhattan,NoHo
118,Manhattan,Nolita
119,Manhattan,Roosevelt Island
120,Manhattan,SoHo
121,Manhattan,Stuyvesant Town
122,Manhattan,Theater District
123,Manhattan,Tribeca
124,Manhattan,Two Bridges
125,Manhattan,Upper East Side
126,Manhattan,Upper West Side
127,Manhattan,Washington Heights
128,Manhattan,West Village
129,Queens,Arverne
130,Queens,Astoria
131,Queens,Bayside
132,Queens,Bayswater
133,Queens,Bay Terrace
134,Queens,Belle Harbor
135,Queens,Bellerose
136,Queens,Breezy Point
137,Queens,Briarwood
138,Queens,Cambria Heights
139,Queens,College Point
140,Queens,Corona
141,Queens,Ditmars Steinway
142,Queens,Douglaston
143,Queens,East Elmhurst
144,Queens,Edgemere
145,Queens,Elmhurst
146,Queens,Far Rockaway
147,Queens,Flushing
148,Queens,Forest Hills
149,Queens,Fresh Meadows
150,Queens,Glendale
151,Queens,Glen Oaks
152,Queens,Hollis
153,Queens,Hollis Hills
154,Queens,Holliswood
155,Queens,Howard Beach
156,Queens,Jackson Heights
157,Queens,Jamaica
158,Queens,Jamaica Estates
159,Queens,Jamaica Hills
160,Queens,Kew Gardens
161,Queens,Kew Gardens Hills
162,Queens,Laurelton
163,Queens,Little Neck
164,Queens,Long Island City
165,Queens,Maspeth
166,Queens,Middle Village
167,Queens,Neponsit
168,Queens,Ozone Park
169,Queens,Queens Village
170,Queens,Rego Park
171,Queens,Richmond Hill
172,Queens,Ridgewood
173,Queens,Rockaway Beach
174,Queens,Rosedale
175,Queens,South Ozone Park
176,Queens,Springfield Gardens
177,Queens,St. Albans
178,Queens,Sunnyside
179,Queens,Whitestone
180,Queens,Woodhaven
181,Queens,Woodside
182,Staten Island,Arden Heights
183,Staten Island,Arrochar
184,Staten Island,"Bay Terrace, Staten Island"
185,Staten Island,Bloomfield
186,Staten Island,Bull's Head
187,Staten Island,Castleton Corners
188,Staten Island,Charleston
189,Staten Island,"Chelsea, Staten Island"
190,Staten Island,Clifton
191,Staten Island,Concord
192,Staten Island,Dongan Hills
193,Staten Island,Eltingville
194,Staten Island,Emerson Hill
195,Staten Island,Fort Wadsworth
196,Staten Island,Graniteville
197,Staten Island,Grant City
198,Staten Island,Great Kills
199,Staten Island,Grymes Hill
200,Staten Island,Howland Hook
201,Staten Island,Huguenot
202,Staten Island,Lighthouse Hill
203,Staten Island,Mariners Harbor
204,Staten Island,Midland Beach
205,Staten Island,New Brighton
206,Staten Island,New Dorp
207,Staten Island,New Dorp Beach
208,Staten Island,New Springville
209,Staten Island,Oakwood
210,Staten Island,Pleasant Plains
211,Staten Island,Port Ivory
212,Staten Island,Port Richmond
213,Staten Island,Prince's Bay
214,Staten Island,Randall Manor
215,Staten Island,Richmondtown
216,Staten Island,Rosebank
217,Staten Island,Rossville
218,Staten Island,Shore Acres
219,Staten Island,Silver Lake
220,Staten Island,South Beach
221,Staten Island,Stapleton
222,Staten Island,St. George
223,Staten Island,Todt Hill
224,Staten Island,Tompkinsville
225,Staten Island,Tottenville
226,Staten Island,West Brighton
227,Staten Island,Westerleigh
228,Staten Island,Willowbrook
229,Staten Island,Woodrow
