,Species,island,Bill Length (mm),Bill Depth (mm),Flipper Length (mm),Body Mass (g),sex,year,Flag_outliners,body_mass_kg,bill_ratio,size_class
0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,2007,False,3.75,2.0909090909090913,Medium
1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,2007,False,3.8,2.270114942528736,Medium
2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,2007,False,3.25,2.238888888888889,Small
4,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,2007,False,3.45,1.9015544041450778,Small
5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,2007,False,3.65,1.907766990291262,Small
6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,2007,False,3.625,2.185393258426966,Small
7,Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,2007,False,4.675,2.0,Large
12,Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,2007,False,3.2,2.3352272727272725,Small
13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,2007,False,3.8,1.8207547169811322,Medium
14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,2007,False,4.4,1.6398104265402844,Medium
15,Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,2007,False,3.7,2.056179775280899,Small
16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,2007,False,3.45,2.0368421052631582,Small
17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,2007,False,4.5,2.0531400966183577,Medium
18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,2007,False,3.325,1.8695652173913044,Small
19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,2007,False,4.2,2.13953488372093,Medium
20,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,2007,False,3.4,2.065573770491803,Small
21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,2007,False,3.6,2.016042780748663,Small
22,Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,2007,False,3.8,1.8697916666666667,Medium
23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,2007,False,3.95,2.110497237569061,Medium
24,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,2007,False,3.8,2.255813953488372,Medium
25,Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,2007,False,3.8,1.8677248677248677,Medium
26,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,2007,False,3.55,2.182795698924731,Small
27,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,2007,False,3.2,2.2625698324022347,Small
